Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
76,W7WWI,442.025000,+,5.000000,Tone,110.9,110.9,023,NN,023,Tone->Tone,FM,5.00,,5.0W,existing,,,,
77,K7NWS,442.075000,+,5.000000,Tone,110.9,110.9,023,NN,023,Tone->Tone,FM,5.00,,5.0W,existing,,,,
78,WA6PMX,442.200000,+,5.000000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,existing,,,,
79,K7OET,442.250000,+,5.000000,Tone,123.0,123.0,023,NN,023,Tone->Tone,FM,5.00,,5.0W,existing,,,,
80,W7ACS,442.300000,+,5.000000,Tone,141.3,141.3,023,NN,023,Tone->Tone,FM,5.00,,5.0W,AllStar,,,,
81,K7MMI,442.325000,+,5.000000,Tone,151.4,151.4,023,NN,023,Tone->Tone,FM,5.00,,5.0W,existing,,,,
82,K7DNR,442.600000,+,5.000000,Tone,127.3,127.3,023,NN,023,Tone->Tone,FM,5.00,,5.0W,existing,,,,
83,WW7RA,442.650000,+,5.000000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,Gold Mtn Kitsap,,,,
84,KE7YYD,442.750000,+,5.000000,Tone,146.2,146.2,023,NN,023,Tone->Tone,FM,5.00,,5.0W,Madigan,,,,
85,W7AUX,442.825000,+,5.000000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,existing,,,,
86,W7ACS,442.875000,+,5.000000,Tone,141.3,141.3,023,NN,023,Tone->Tone,FM,5.00,,5.0W,AllStar IRLP,,,,
87,WA7LZO,442.900000,+,5.000000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,Fusion,,,,
88,W7ACS,443.000000,+,5.000000,Tone,156.7,156.7,023,NN,023,Tone->Tone,FM,5.00,,5.0W,FM,,,,
89,N7MTC,443.050000,+,5.000000,Tone,179.9,179.9,023,NN,023,Tone->Tone,FM,5.00,,5.0W,existing,,,,
90,KE7WMH,443.100000,+,5.000000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,existing,,,,
91,K7MJ,443.225000,+,5.000000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,existing,,,,
92,KE7GFZ,443.250000,+,5.000000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,existing,,,,
93,W7PLU,443.300000,+,5.000000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,PLU Tacoma,,,,
94,K7KG,443.300000,+,5.000000,Tone,156.7,156.7,023,NN,023,Tone->Tone,FM,5.00,,5.0W,existing,,,,
95,N6OBY,443.325000,+,5.000000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,existing,,,,
96,K7PP,443.400000,+,5.000000,Tone,123.0,123.0,023,NN,023,Tone->Tone,FM,5.00,,5.0W,existing,,,,
97,WW7MST,443.550000,+,5.000000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,Seattle Beacon Hill,,,,
98,WW7MST,443.675000,+,5.000000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,Tacoma,,,,
99,W7DRM,443.725000,+,5.000000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,existing,,,,
100,N7QOR,443.950000,+,5.000000,Tone,131.8,131.8,023,NN,023,Tone->Tone,FM,5.00,,5.0W,existing,,,,
101,K7SPG,444.000000,+,5.000000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,FM IRLP,,,,
102,WE7SCA,444.025000,+,5.000000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,existing,,,,
103,KC7Z,444.075000,+,5.000000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,existing,,,,
104,K7HW,444.175000,+,5.000000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,Tacoma,,,,
105,KB7WCE,444.225000,+,5.000000,Tone,123.0,123.0,023,NN,023,Tone->Tone,FM,5.00,,5.0W,FM,,,,
106,AJ7JA,444.375000,+,5.000000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,EchoLink,,,,
107,WW7SEA,444.425000,+,5.000000,Tone,141.3,141.3,023,NN,023,Tone->Tone,FM,5.00,,5.0W,KOMO Fusion,,,,
108,W7ACS,444.550000,+,5.000000,Tone,141.3,141.3,023,NN,023,Tone->Tone,FM,5.00,,5.0W,EchoLink,,,,
109,WA7LAW,444.575000,+,5.000000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,Everett,,,,
110,K7LWH,444.600000,+,5.000000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,existing,,,,
111,WW7SEA,444.700000,+,5.000000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,Queen Anne AllStar,,,,
112,K7IDS,444.775000,+,5.000000,Tone,173.8,173.8,023,NN,023,Tone->Tone,FM,5.00,,5.0W,Children's Hospital,,,,
113,K7OET,444.800000,+,5.000000,Tone,100.0,100.0,023,NN,023,Tone->Tone,FM,5.00,,5.0W,existing,,,,
114,WW7MST,444.825000,+,5.000000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,NW Hospital,,,,
115,W7EAR,444.975000,+,5.000000,Tone,114.8,114.8,023,NN,023,Tone->Tone,FM,5.00,,5.0W,Everett,,,,
116,WR7DS,442.725000,+,5.000000,DTCS,88.5,88.5,172,NN,172,DTCS->DTCS,FM,5.00,,5.0W,existing DTCS,,,,
117,BACKEND,154.600000,,0.000000,TSQL,67.0,67.0,023,NN,023,Tone->Tone,FM,5.00,,5.0W,personal channel,,,,,
